campaign_id,ad_platform,ad_spend,ad_clicks,ad_impressions,ad_CTR,ad_conversion_rate,social_platform,social_engagements,social_reach,social_CTR,email_subject,email_recipients,email_opens,email_clicks,email_CTR,email_bounce_rate,email_unsub_rate,campaign_date,ad_CPC,email_open_rate,email_click_rate,year,month,quarter,year_month,total_engagements,ad_to_social_ratio,email_to_ad_ratio,campaign_effectiveness,month_year
CAMP-99,TikTok Ads,2407,44635,711381,0.556660985857204,3.8236166497181174,Instagram,87418,343776,1.2904341857623711,Promo Email 1,89887,46644,4350,3.031858296242798,6.683230754914336,1.1832864810978656,2024-05-20 18:37:20.454370,0.0539262910272207,51.89181972921557,9.32595832261384,2024,5,2,2024-05,87418,0.5105927840948089,0.09745715245883275,4.284511880531409,2024-05
CAMP-168,LinkedIn Ads,3990,16203,353103,2.111429390896718,2.8161184082467057,Instagram,21220,299977,4.61505332222555,Promo Email 2,82542,62272,1799,5.172775710382528,2.3894711779111653,2.6109548668450326,2024-03-14 18:37:20.454370,0.2462506943158674,75.4428048750939,2.8889388489208634,2024,3,1,2024-03,21220,0.7635721017907634,0.11102882182311917,3.1735203535050256,2024-03
CAMP-142,Facebook Ads,19419,98146,752287,0.9003495756363805,6.731081474434796,Facebook,19890,244466,6.3436558872216455,Promo Email 3,45149,13944,617,14.627421965101922,2.782966947818407,2.774922540407357,2024-10-17 18:37:20.454370,0.1978582927475393,30.88440497020975,4.424842226047045,2024,10,4,2024-10,19890,4.934439416792358,0.006286552686813523,3.9431385292762258,2024-10
CAMP-35,Twitter Ads,4673,90112,736226,1.1867316931423613,2.388733578905328,TikTok,58755,224936,4.5543342195693715,Promo Email 4,50112,46147,4950,14.801758516621833,6.763827879442876,0.2678795016881713,2024-03-24 18:37:20.454370,0.0518576882102272,92.08772349936145,10.7265911110148,2024,3,1,2024-03,58755,1.5336907497234278,0.054931640625,6.01295621821944,2024-03
CAMP-176,Facebook Ads,11565,78378,726787,1.6560174413605588,3.4925998182425335,Facebook,59743,287542,1.3711618130734466,Promo Email 5,11940,11474,931,7.932773268813026,9.14240496037487,0.9347995288295028,2024-03-13 18:37:20.454370,0.1475541606062926,96.09715242881072,8.113996862471677,2024,3,1,2024-03,59743,1.3119193880454614,0.01187833320574651,4.153752521318872,2024-03
CAMP-84,Facebook Ads,18177,12491,268136,1.3710031636416615,2.633723180711406,LinkedIn,93548,62554,1.2524403006011102,Promo Email 6,60010,38883,689,14.046911976226214,9.832710267916884,2.5485577993398114,2024-10-12 18:37:20.454370,1.4552077495796971,64.79420096650557,1.7719826145101971,2024,10,4,2024-10,93548,0.13352503527600804,0.05515971499479625,1.4958260850769105,2024-10
CAMP-56,Facebook Ads,5269,29001,527249,0.5291973572891374,1.1569588933257615,Instagram,47474,51755,5.987208322856531,Promo Email 7,77794,3456,4011,8.07959483182439,2.38129399299539,3.010309042622686,2024-10-25 18:37:20.454370,0.1816833902279231,4.442501992441576,116.05902777777776,2024,10,4,2024-10,47474,0.6108817457976998,0.13830557566980448,48.378532815154806,2024-10
CAMP-177,LinkedIn Ads,5296,97637,537785,0.5405895998125413,8.361238045538897,LinkedIn,43007,411922,1.405465201601443,Promo Email 8,25485,8577,4470,4.728027858336781,1.7741364157430066,0.8271683127824554,2025-02-09 18:37:20.454370,0.0542417321302375,33.655091230135376,52.11612451906261,2025,2,1,2025-02,43007,2.270258330039296,0.045781824513248054,21.43026624804924,2025-02
CAMP-141,Google Ads,13546,81259,426767,1.046922134647424,2.9181351577557813,LinkedIn,50171,154412,3.881507743276165,Promo Email 9,90299,36990,4587,4.3700396774321915,1.0358128987275097,2.0543229185401564,2024-09-12 18:37:20.454370,0.1667015345992444,40.96390879190246,12.400648824006488,2024,9,3,2024-09,50171,1.619640828366985,0.05644913178847882,6.438788492979672,2024-09
CAMP-189,Twitter Ads,14711,68014,994888,0.3477400210017409,4.9937612817586965,Twitter,34912,328138,0.7412365797549647,Promo Email 10,2067,56112,4949,13.977832727838155,8.748821672532614,4.5315670389330664,2024-05-04 18:37:20.454370,0.2162937042373628,2714.658925979681,8.819860279441118,2024,5,2,2024-05,34912,1.9481553620531622,0.07276443085247156,3.854637092003459,2024-05
CAMP-49,Google Ads,19856,50457,781734,3.1696393964169434,0.9114950959159636,Twitter,49670,64884,1.024353488042653,Promo Email 11,21607,36659,2385,3.000472640120957,3.299791045136453,4.994606506526243,2024-11-19 18:37:20.454370,0.3935231979705492,169.66260933956588,6.505905780299518,2024,11,4,2024-11,49670,1.0158445741896518,0.04726797074736905,3.8605601774576863,2024-11
CAMP-46,Google Ads,5497,87008,974259,1.50790091089362,7.1437249294001095,LinkedIn,51001,347505,4.870263739678621,Promo Email 12,62597,40210,4371,8.904670643926364,0.5172143217578908,4.937350828672592,2024-04-03 18:37:20.454370,0.0631780985656491,64.23630525424541,10.870430241233525,2024,4,2,2024-04,51001,1.706005764592851,0.0502367598381758,6.261621491665082,2024-04
CAMP-113,Google Ads,17876,38537,800687,1.4707552420684482,3.640329521909763,Instagram,60286,18482,4.979679167778858,Promo Email 13,75554,14306,3035,8.555113486909434,2.626271817536074,4.420205100405675,2024-08-19 18:37:20.454370,0.4638658951137867,18.93480159885645,21.214874877673704,2024,8,3,2024-08,60286,0.6392363069369339,0.07875548174481667,10.421080274023675,2024-08
CAMP-190,Facebook Ads,8612,35603,136639,1.7267916417650495,7.5749989143774945,LinkedIn,50351,55225,2.7195511429548755,Promo Email 14,49521,6958,609,11.224514427468426,3.734190260944475,2.0338344309547343,2024-08-15 18:37:20.454370,0.2418897283936747,14.050604793925809,8.75251509054326,2024,8,3,2024-08,50351,0.7070961847828245,0.017105300115158834,4.8349088716332815,2024-08
CAMP-136,TikTok Ads,5787,96382,836279,3.3477017436276366,4.417829074444728,Twitter,65271,190921,1.9014634740797909,Promo Email 15,16187,36024,763,7.739022159109234,9.91436861021851,3.464214031166443,2024-05-31 18:37:20.454370,0.0600423315556846,222.54895904120588,2.118032422829225,2024,5,2,2024-05,65271,1.4766435323497418,0.007916415928285365,2.421962534443918,2024-05
CAMP-43,Facebook Ads,11078,93559,761177,4.366106019269104,2.3596782608534337,Instagram,36260,75854,5.789116759922502,Promo Email 16,4985,7353,4643,4.448142080267946,5.473645141642276,2.1413019161425737,2024-08-16 18:37:20.454370,0.1184065669791254,147.5025075225677,63.144294845641234,2024,8,3,2024-08,36260,2.5802261445118586,0.04962643893158328,28.304284772013975,2024-08
CAMP-148,Facebook Ads,19124,75503,704363,3.819525969522629,5.375163281679341,LinkedIn,19256,42256,1.9111709915542872,Promo Email 17,44052,40977,4038,2.9562492446578887,2.4447825021534624,3.277782431438594,2024-09-14 18:37:20.454370,0.2532879488232256,93.01961318441842,9.854308514532542,2024,9,3,2024-09,19256,3.921011632737848,0.05348131862310107,5.660932494136092,2024-09
CAMP-124,Google Ads,18360,41358,21389,3.6648932281029656,1.739793316555678,TikTok,76308,241617,4.023175952831468,Promo Email 18,20563,32722,306,9.50187265083543,3.680774274777785,1.616219107750468,2024-05-09 18:37:20.454370,0.4439286232409691,159.13047707046638,0.9351506631623984,2024,5,2,2024-05,76308,0.5419877339204278,0.007398810387349485,2.6804810195452893,2024-05
CAMP-97,Facebook Ads,6926,33824,176595,2.4735168094441615,4.68512201879345,TikTok,80080,109721,6.793357465608886,Promo Email 19,48322,18820,626,10.92536597437188,3.6379230317903457,3.070391042690627,2025-01-09 18:37:20.454370,0.2047658467360454,38.94706344936054,3.3262486716259296,2025,1,1,2025-01,80080,0.4223776223776224,0.01850756859035005,4.110561751166285,2025-01
CAMP-90,Google Ads,12099,64386,386946,3.499647229140318,3.514402035494622,LinkedIn,72420,82110,1.461040846105495,Promo Email 20,62245,52743,87,8.758058540889474,0.6873945914001671,2.6664166331089647,2025-01-23 18:37:20.454370,0.1879135215730127,84.73451682866093,0.1649507991581821,2025,1,1,2025-01,72420,0.8890637945318972,0.0013512254216755195,1.5541867422370166,2025-01
CAMP-39,TikTok Ads,889,74942,324720,2.808535603364558,9.163616049896516,Instagram,18029,114606,6.6156957387156075,Promo Email 21,52514,46115,2122,11.206093518257324,1.7842390146285856,0.2199533024846797,2024-10-07 18:37:20.454370,0.0118625070054175,87.81467799063107,4.6015396291879,2024,10,4,2024-10,18029,4.156747462421654,0.02831523044487737,4.667885254299209,2024-10
CAMP-85,Twitter Ads,1499,15008,831351,1.1596275881139917,1.0788228563468394,LinkedIn,66706,15650,1.6888048449463462,Promo Email 22,19608,17852,4555,2.552057435524422,7.104366367180506,3.974444228355958,2024-08-09 18:37:20.454370,0.0998800639658848,91.04447164422685,25.515348420345056,2024,8,3,2024-08,66706,0.22498725751806434,0.3035047974413646,11.060669098056124,2024-08
CAMP-177,Google Ads,13312,92717,738463,1.1220830019311487,7.09316543400455,LinkedIn,88542,178190,4.188380852150992,Promo Email 23,68262,3703,510,13.295817826675464,1.6423843724219789,0.1582993780012625,2024-06-27 18:37:20.454370,0.1435766903588338,5.424687234478919,13.772616797191468,2024,6,2,2024-06,88542,1.0471527636601838,0.005500609381235372,7.102185875101229,2024-06
CAMP-192,TikTok Ads,16099,50726,4358,1.552320833688889,2.236136076880641,Twitter,62659,29930,2.95055012773184,Promo Email 24,93118,39767,1490,8.944734871923295,2.6919756277581284,1.5364641170411788,2024-05-25 18:37:20.454370,0.3173717620155344,42.70602890955561,3.74682525712274,2024,5,2,2024-05,62659,0.8095564882937806,0.02937349682608524,2.8495913912753146,2024-05
CAMP-62,Twitter Ads,2355,37328,351679,4.562933087752085,3.5309282061562786,TikTok,54305,217779,6.772035909761868,Promo Email 25,72327,38441,4528,2.339236939942659,3.8320043348409336,0.1290279207246116,2024-04-09 18:37:20.454370,0.0630893699099871,53.14889322106544,11.779090034078198,2024,4,2,2024-04,54305,0.6873768529601326,0.12130304329189884,8.112126712885466,2024-04
CAMP-106,LinkedIn Ads,8625,23486,502110,2.782332717860657,4.447383599089626,Twitter,68575,261102,2.2780231885125897,Promo Email 26,58225,25868,1882,7.1979154609831575,7.69848197277179,1.9433869251464713,2025-01-18 18:37:20.454370,0.3672400579068381,44.42765135251181,7.275398175351786,2025,1,1,2025-01,68575,0.3424863288370397,0.08013284509920804,4.428266042052688,2025-01
CAMP-107,Google Ads,14294,46854,253557,3.6961363473091606,9.126143349062255,Twitter,64441,363544,3.0977770135573985,Promo Email 27,74994,31484,4714,12.749480199055716,6.032809166245428,0.4094865880042826,2024-07-05 18:37:20.454370,0.3050753404191744,41.98202522868496,14.972684538178122,2024,7,3,2024-07,64441,0.727083688955789,0.10061040679557776,8.027247823531216,2024-07
CAMP-54,Google Ads,3263,28402,208596,1.7981379231010834,2.804493527701339,LinkedIn,95477,274945,6.888590766060233,Promo Email 28,18221,42441,3449,13.51465180507082,7.045499857391399,4.576203737473082,2025-03-01 18:37:20.454370,0.1148862756143933,232.92354975028812,8.126575716877547,2025,3,1,2025-03,95477,0.297474784503074,0.1214351102035068,5.856648893499413,2025-03
CAMP-126,LinkedIn Ads,5486,60915,779776,2.0978072762596036,1.367433624174367,Twitter,42963,52360,3.987057542725075,Promo Email 29,49506,53183,482,4.337417822482042,5.886617091491636,2.1368285462980565,2024-09-18 18:37:20.454370,0.0900599195600426,107.42738253949015,0.9063046462215372,2024,9,3,2024-09,42963,1.4178479156483486,0.007912665189198063,2.1879813041840186,2024-09
CAMP-9,LinkedIn Ads,1981,84848,631270,0.7152713353225317,3.5275512379099743,TikTok,81937,351052,3.767095751538147,Promo Email 30,21968,1301,4201,10.81335445830157,6.994128039607756,2.3515292968356096,2024-03-29 18:37:20.454370,0.023347633415048,5.9222505462490895,322.90545734050727,2024,3,1,2024-03,81937,1.0355272953610701,0.04951206864039223,130.50689306226113,2024-03
